listing_id,make,model,year,trim,body_type,fuel_type,transmission,mileage,price,condition,seller_type,city,state,country,Adaptive Cruise Control,Alloy Wheels,Android Auto,Apple CarPlay,Backup Camera,Blind Spot Monitor,Bluetooth,Fog Lights,Heated Seats,Keyless Entry,LED Headlights,Lane Keep Assist,Leather Seats,Navigation,Panoramic Roof,Parking Sensors,Push Button Start,Sunroof,Ventilated Seats,Wireless Charging
1,Tesla,Model 3,2019,,Coupe,Electric,Manual,46134,19919,good,Dealer,New Lindsey,GA,US,False,True,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
2,Nissan,Rogue,2024,LT,Sedan,Hybrid,Automatic,16109,19480,good,Dealer,Pughtown,CO,US,False,True,True,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,True
3,Hyundai,i20,2018,XLE,Crossover,Petrol,Automatic,173239,4556,good,Dealer,Satna,HR,India,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
4,Kia,Sportage,2023,EX,Hatchback,Diesel,CVT,36810,11536,fair,Certified Pre-Owned,山武市,Osaka,Japan,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True
5,Kia,Seltos,2020,Trend,Pickup,Diesel,Automatic,87749,14098,good,Certified Pre-Owned,長生郡長生村,Osaka,Japan,False,False,False,True,True,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True
6,Mercedes-Benz,GLA,2019,Platinum,Crossover,Electric,CVT,60853,17137,excellent,Dealer,Christopherfort,NB,Canada,False,False,False,True,True,True,False,False,True,False,False,False,True,True,False,True,False,False,False,True
7,Kia,Sorento,2013,EX,Coupe,Petrol,Manual,92762,2436,fair,Dealer,West Susanburgh,NB,Canada,True,True,False,True,False,False,True,False,False,False,True,True,True,False,False,False,True,True,False,False
8,Tata,Altroz,2017,Long Range,Crossover,Petrol,CVT,204753,2620,excellent,Certified Pre-Owned,Perrot-sur-Mer,NAQ,France,False,False,False,True,True,False,False,True,True,True,False,True,False,True,False,False,False,False,True,True
9,Chevrolet,Silverado,2018,LT,Crossover,Petrol,CVT,103322,5325,good,Dealer,Lake Taylor,TAS,Australia,True,True,False,False,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,True
10,Chevrolet,Silverado,2015,LX,Crossover,Electric,Manual,119321,2812,good,Dealer,Mckenzieside,TAS,Australia,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
